urn:network-tag-v1
1,PC_CIO_INPUT_1,200,0,,1
1,PC_CIO_INPUT_2,200,0,,1
1,PC_CIO_INPUT_3,200,0,,1
0,PC_CIO_OUTPUT_1,200,0,,1
0,PC_CIO_OUTPUT_2,200,0,,1
0,PC_CIO_OUTPUT_3,200,0,,1
0,PC_EIO_OUTPUT_1,400,0,,1
0,PC_EIO_OUTPUT_2,400,0,,1
0,PC_EIO_OUTPUT_3,400,0,,1
0,PC_EIO_OUTPUT_4,400,0,,1
0,PC_EIO_OUTPUT_5,400,0,,1
1,PC_EIO_INPUT1,400,0,,1
1,PC_EIO_INPUT2,400,0,,1
1,PC_EIO_INPUT3,400,0,,1
1,PC_EIO_INPUT4,400,0,,1
1,PC_EIO_INPUT5,400,0,,1
1,PC_EIO_INPUT6,400,0,,1
1,PC_EIO_INPUT7,400,0,,1
1,PC_EIO_INPUT8,400,0,,1
1,PC_EIO_INPUT9,400,0,,1
1,PC_EIO_INPUT10,400,0,,1
urn:network-tagset-v1
