!DatalogFileV1.0 1580605370
#
# User :            Start : 2020/2/2 10:2:50
# PRO_RcpNameSM : SW_80.rcp
#
#-------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------
Time	PrcsStep	PrcsTime	PrcsStepCyc	StepGrpCyc	ThrtPrs	ThrtPos	ChmPrs	PumpPrs	Chuck2Pos	RF2SetPow	RF2LoadPow	RF2RefPow	RF2Freq	RPGLoadPow	RPGRefPow	SHT2_Temp	SHT2_Pow	SHT2_Cur	SHT2_Volt	MFC09Flw	MFC08Flw	MFC07Flw	MFC04Flw	MFC05Flw	MFC06Flw	MFC09Prs	MFC08Prs	MFC07Prs	MFC04Prs	MFC05Prs	MFC06Prs	HT17_Temp	HT18_Temp	HT19_Temp	HT20_Temp	HT21_Temp	HT22_Temp	HT23_Temp	HT24_Temp	HT25_Temp	HT26_Temp	HT27_Temp	HT28_Temp	HT29_Temp	HT30_Temp	HT31_Temp	HT32_Temp	SH2HeatExFlw	HtExcSupTemp	HtExcRetTemp	RF2ForwardAI	HF_LOAD_POS_B	HF_TUNE_POS_B	HF_R_Real_B	HF_X_Image_B	HF_Z_Phase_B	HF_Z_Power_B	HF_Z_R_B	HF_Z_X_B	HF_Z_Vrms_B	HF_Z_Irms_B
#-------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------
0	7	5.000	1	0	0.001	100.0	0.0	0.000	0.00	0	0	0	0	0	0	50.0	0.0	0.00	0.00	0	0	0	0	0	0	39.9	38.8	37.7	34.4	35.5	36.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.0	0.0	0	0.00	0.00	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
1	0	0.000	1	0	0.001	100.0	0.0	0.000	0.00	0	0	0	0	0	0	50.0	0.0	0.00	0.00	0	0	0	0	0	0	39.9	38.8	37.7	34.4	35.5	36.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.0	0.0	0	0.00	0.00	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
2	1	10.000	1	0	0.001	100.0	0.0	0.000	0.00	0	0	0	0	0	0	50.0	0.0	0.00	0.00	0	0	0	0	0	0	39.9	38.8	37.7	34.4	35.5	36.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.0	0.0	0	0.00	0.00	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
3	1	10.000	1	0	0.001	48.0	0.0	0.000	0.00	0	0	0	0	0	0	50.0	0.0	0.00	0.00	0	0	1500	0	0	0	39.9	38.8	37.7	34.4	35.5	36.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.0	0.0	0	0.00	0.00	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
4	1	10.000	1	0	2.185	46.0	2.2	0.000	0.00	0	0	0	0	0	0	50.0	0.0	0.00	0.00	3500	400	1500	0	0	0	39.9	38.8	37.7	34.4	35.5	36.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.0	0.0	0	0.00	0.00	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
5	1	10.000	1	0	2.254	48.0	2.3	0.000	0.00	0	0	0	0	0	0	50.0	0.0	0.00	0.00	3500	400	1500	0	0	0	39.9	38.8	37.7	34.4	35.5	36.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.0	0.0	0	0.00	0.00	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
6	1	10.000	1	0	2.185	46.0	2.2	0.000	0.00	0	0	0	0	0	0	50.0	0.0	0.00	0.00	3500	400	1500	300	0	0	39.9	38.8	37.7	34.4	35.5	36.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.0	0.0	0	0.00	0.00	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
7	1	10.000	1	0	2.185	46.0	2.2	0.000	0.00	0	0	0	0	0	0	50.0	0.0	0.00	0.00	3500	400	1500	300	0	0	39.9	38.8	37.7	34.4	35.5	36.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.0	0.0	0	0.00	0.00	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
8	1	10.000	1	0	2.254	48.0	2.3	0.000	0.00	0	0	0	0	0	0	50.0	0.0	0.00	0.00	3500	400	1500	300	0	0	39.9	38.8	37.7	34.4	35.5	36.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.0	0.0	0	0.00	0.00	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
9	1	10.000	1	0	2.185	46.0	2.2	0.000	0.00	0	0	0	0	0	0	50.0	0.0	0.00	0.00	3500	400	1500	300	0	0	39.9	38.8	37.7	34.4	35.5	36.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.0	0.0	0	0.00	0.00	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
10	1	10.000	1	0	2.254	48.0	2.3	0.000	0.00	0	0	0	0	0	0	50.0	0.0	0.00	0.00	3500	400	1500	300	0	0	39.9	38.8	37.7	34.4	35.5	36.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.0	0.0	0	0.00	0.00	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
11	1	10.000	1	0	2.185	46.0	2.2	0.000	0.00	0	0	0	0	0	0	50.0	0.0	0.00	0.00	3500	400	1500	300	0	0	39.9	38.8	37.7	34.4	35.5	36.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.0	0.0	0	0.00	0.00	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
12	1	10.000	1	0	2.254	48.0	2.3	0.000	0.00	0	0	0	0	0	0	50.0	0.0	0.00	0.00	3500	400	1500	300	0	0	39.9	38.8	37.7	34.4	35.5	36.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.0	0.0	0	0.00	0.00	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
13	2	2.000	1	0	2.185	46.0	2.2	0.000	0.00	0	0	0	0	0	0	50.0	0.0	0.00	0.00	3500	400	1500	300	0	0	39.9	38.8	37.7	34.4	35.5	36.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.0	0.0	0	0.00	0.00	0.000	0.000	0.00	0.00	0.00	0.00	0.00	0.00
