
1	"[Reject] Cassette Input Path Select Error"
2	"[Reject] Cassette Output Path Select Error"
3	"[Reject] Cassette Start Slot Range Select Error"
4	"[Reject] Cassette End Slot Range Select Error"
5	"[Reject] Cassette Start to End Slot Range Error"
6	"[Reject] Run Recipe File Select Error(Empty or N/A File)"
7	"[Reject] Running Cassette Select Error"
8	"[Reject] Select Job is Run Already"
9	"[Reject] Select Job Parameter Error"

10	"[Abort] Not Single Chamber Select"
11	"[Abort] Lot Recipe Data Reading Error(N/A File)"
12	"[Abort] Cluster Recipe Data Reading Error(N/A File)"
13	"[Abort] Run Recipe Data has no Wafer to Run"
14	"[Abort] Run Chamber is Not Enable Chamber"
15	"[Abort] Lot Item can not Run because Run Module is Disable Status"
16	"[Abort] Robot Finger has a Wafer already"
17	"[Abort] Run Chamber has a Wafer already"
18	"[Abort] PM Recipe Not Exist Error"
19	"[Abort] Wafer has a duplicate PM side"
20	"[Abort] Chamber has not a Wafer"

21	"[Abort] Carrier Mapping Error"
22	"[Abort] Carrier has no Wafer to Run or Target Carrier has Wafer"
23	"[Abort] Begin or Ready Part Failure"
24	"[Abort] End Part Failure"
25	"[Abort] HandOff In Part Failure"
26	"[Abort] HandOff Out Part Failure"
27	"[Disable] Module Disabled and Can not Move more"
28	"[Abort] Job Aborted but Process Running"
29	"[DISAPPEAR] Job Completed but some Wafer not return to Carrier"

101	"[PICK] Robot Finger Select Error"
102	"[PLACE] Robot Finger Select Error"
103	"[MOVE] Robot Finger Select Error"

104	"[PICK] FEM Robot Finger Select Error"
105	"[PLACE] FEM Robot Finger Select Error"
106	"[MOVE] FEM Robot Finger Select Error"

107	"[MOVE] Robot Finger has no Space to handle the Wafer"

108	"[PICK/MOVE] Arm B2 has a wafer or unknown wafer status for cassette"
109	"[PLACE/MOVE] Buffer or Cassette has a wafer from Arm B2"
110	"[MOVE] Arm B2 Operation has a error"

111	"[PICK/MOVE] Source Chamber Select Error(Disable Module)"
112	"[PICK/MOVE] Source Chamber Carrier Slot Range Error"
113	"[PICK/MOVE] Source Chamber Carrier Wafer Not Present"
114	"[PICK/MOVE] Source Chamber Wafer Not Present"
115	"[PICK/MOVE] Source Chamber Select Error(N/A-AL/IC/BM/TM)"
116	"[PICK/MOVE] Source Chamber Select Error(N/A-AL/IC/TM)"
117	"[PICK/MOVE] Source Buffer Chamber Slot Range Error"
118	"[PICK/MOVE] Source Buffer Chamber Wafer Not Present"

121	"[PLACE/MOVE] Target Chamber Select Error(Disable Module)"
122	"[PLACE/MOVE] Target Chamber Carrier Slot Range Error"
123	"[PLACE/MOVE] Target Chamber Carrier Wafer Not Absent"
124	"[PLACE/MOVE] Target Chamber Wafer Not Absent"
125	"[PLACE/MOVE] Target Chamber Select Error(N/A-AL/IC/BM/TM)"
126	"[PLACE/MOVE] Target Chamber Select Error(N/A-AL/IC/TM)"
127	"[PLACE/MOVE] Target Buffer Chamber Slot Range Error"
128	"[PLACE/MOVE] Target Buffer Chamber Wafer Not Absent"

130	"[PICK/PLACE/MOVE] TM of FM is not valid status(Disable Module)"
131	"[PICK/PLACE/MOVE] Aligner has a Wafer Error"
132	"[PICK/PLACE/MOVE] Cooler has a Wafer Error"
133	"[CLEAR] Robot Finger A Selection Error(N/A-Finger A)"
134	"[CLEAR] Robot Finger B Selection Error(N/A-Finger B)"
135	"[CLEAR] All Robot Fingers are Busy Error"
136	"[CLEAR] Wafer Cleared Already"
140	"[CLEAR] AL/IC Wafer Information Error"

151	"[MOVE] Buffer Chamber has no Space to Get/Put"

161	"Abort Happen when Transfer Operation"
162	"Abort Happen Target Has a Wafer or Trouble"

201	"[SYSTEM] File 'System.cfg' Reading Error"
202	"[SYSTEM] File 'Schedule.cfg' Reading Error"
203	"[SYSTEM] File 'File.cfg' Reading Error"
204	"[SYSTEM] File 'Robot.cfg' Reading Error"
205	"[SYSTEM] File 'RobotSlot.cfg' Reading Error"

301	"[CPJOB] Control Job is Selected or Running"

501	"[REJECT] Regist GUI Reject By User"
502	"[REJECT] Start Reject with Not Prepare(Load/Map/Unload)"

701	"[ABORT] Cassette Different Slot Select"
702	"[ABORT] Cassette Overrange Slot Select"
703	"[ABORT] Cassette Duplicate Slot Select"
704	"[ABORT] Cassette Overrange2 Slot Select"

997	"[SYSTEM] Thread Spawn Fail"
998	"[SYSTEM] System return by ERROR"
999	"[SYSTEM] System return by ABORT"
